marketing_season,season_type,crop,msp_rs_qtl,cost_a2fl_rs_qtl,margin_over_a2fl_pct_pib,margin_over_a2fl_pct_derived,c2_rs_qtl,margin_over_c2_pct_derived,source_msp_cost,source_c2,note
2024-25,kharif,Groundnut,6783,4522,50,50.0,5664,19.8,https://pib.gov.in/PressReleasePage.aspx?PRID=2026698,https://farmingcosmos.com/projected-comprehensive-cost-of-production-for-paddy-during-kms-2024-25-is-rs-2008-per-quintal/,
2024-25,kharif,Sunflower Seed,7280,4853,50,50.0,6594,10.4,https://pib.gov.in/PressReleasePage.aspx?PRID=2026698,https://farmingcosmos.com/projected-comprehensive-cost-of-production-for-paddy-during-kms-2024-25-is-rs-2008-per-quintal/,
2024-25,kharif,Soybean (Yellow),4892,3261,50,50.0,4291,14.0,https://pib.gov.in/PressReleasePage.aspx?PRID=2026698,https://farmingcosmos.com/projected-comprehensive-cost-of-production-for-paddy-during-kms-2024-25-is-rs-2008-per-quintal/,
2024-25,kharif,Sesamum,9267,6178,50,50.0,8152,13.7,https://pib.gov.in/PressReleasePage.aspx?PRID=2026698,https://farmingcosmos.com/projected-comprehensive-cost-of-production-for-paddy-during-kms-2024-25-is-rs-2008-per-quintal/,
2024-25,kharif,Nigerseed,8717,5811,50,50.0,7342,18.7,https://pib.gov.in/PressReleasePage.aspx?PRID=2026698,https://farmingcosmos.com/projected-comprehensive-cost-of-production-for-paddy-during-kms-2024-25-is-rs-2008-per-quintal/,
2024-25,kharif,Cotton (Medium Staple),7121,4747,50,50.0,6230,14.3,https://pib.gov.in/PressReleasePage.aspx?PRID=2026698,https://farmingcosmos.com/projected-comprehensive-cost-of-production-for-paddy-during-kms-2024-25-is-rs-2008-per-quintal/,
2025-26,kharif,Paddy (Common),2369,1579,50,50.0,2090,13.3,https://pib.gov.in/PressReleasePage.aspx?PRID=2131986,https://farmingcosmos.com/projected-comprehensive-cost-of-production-for-paddy-for-kms-2025-26-is-rs-2090-per-quintal/,
2025-26,kharif,Paddy (Grade A),2389,,,,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2131986,,
2025-26,kharif,Jowar (Hybrid),3699,2466,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2131986,,
2025-26,kharif,Bajra,2775,1703,63,62.9,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2131986,,
2025-26,kharif,Ragi,4886,3257,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2131986,,
2025-26,kharif,Maize,2400,1508,59,59.2,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2131986,,
2025-26,kharif,Tur (Arhar),8000,5038,59,58.8,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2131986,,
2025-26,kharif,Moong,8768,5845,50,50.0,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2131986,,
