date,commodity,stock_lmt,buffer_norm_lmt,source,note
2021-03-01,coarsegrains,4.66,,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf",opening stock in central pool
2021-04-01,coarsegrains,7.97,,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf",opening stock in central pool
2021-05-01,coarsegrains,7.5,,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf",opening stock in central pool
2021-06-01,coarsegrains,7.44,,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf",opening stock in central pool
2021-07-01,coarsegrains,6.3,,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf",opening stock in central pool
2021-08-01,coarsegrains,5.45,,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf",opening stock in central pool
2021-09-01,coarsegrains,2.51,,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf",opening stock in central pool
2021-10-01,coarsegrains,1.88,,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf",opening stock in central pool
2021-11-01,coarsegrains,1.49,,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf",opening stock in central pool
2021-12-01,coarsegrains,1.54,,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf",opening stock in central pool
2021-01-01,total,532.79,214.1,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf",opening stock in central pool
2021-02-01,total,565.45,,"https://dfpd.gov.in/WriteReadData/FoodBulletinUploadDocuments/8e0ba45f-affc-4309-8a2d-f6c8d01156b7_Foodgrain%20Bulletin%20fot%20November,%202024.pdf",opening stock in central pool
