year,product,measure,quantity_lmt,value_rs_cr,source,note
2017-18,NPK,import,4.99,,https://pib.gov.in/PressReleasePage.aspx?PRID=1810907,companies-reported
2018-19,UREA,import,74.81,,https://pib.gov.in/PressReleasePage.aspx?PRID=1810907,companies-reported
2018-19,DAP,import,66.02,,https://pib.gov.in/PressReleasePage.aspx?PRID=1810907,companies-reported
2018-19,MOP,import,42.14,,https://pib.gov.in/PressReleasePage.aspx?PRID=1810907,companies-reported
2018-19,NPK,import,5.46,,https://pib.gov.in/PressReleasePage.aspx?PRID=1810907,companies-reported
2019-20,UREA,import,91.23,,https://pib.gov.in/PressReleasePage.aspx?PRID=1810907,companies-reported
2019-20,DAP,import,48.7,,https://pib.gov.in/PressReleasePage.aspx?PRID=1810907,companies-reported
2019-20,MOP,import,36.7,,https://pib.gov.in/PressReleasePage.aspx?PRID=1810907,companies-reported
2019-20,NPK,import,7.46,,https://pib.gov.in/PressReleasePage.aspx?PRID=1810907,companies-reported
2020-21,UREA,import,98.28,,https://pib.gov.in/PressReleasePage.aspx?PRID=1810907,companies-reported
2020-21,DAP,import,48.82,,https://pib.gov.in/PressReleasePage.aspx?PRID=1810907,companies-reported
2020-21,MOP,import,42.27,,https://pib.gov.in/PressReleasePage.aspx?PRID=1810907,companies-reported
2020-21,NPK,import,13.9,,https://pib.gov.in/PressReleasePage.aspx?PRID=1810907,companies-reported
2023-24,DAP,import,56.71,,https://pib.gov.in/PressReleasePage.aspx?PRID=2154208,
2024-25,DAP,import,49.72,,https://pib.gov.in/PressReleasePage.aspx?PRID=2154208,
2023-24,DAP,import_from_china,22.28,,https://pib.gov.in/PressReleasePage.aspx?PRID=2237491,
2024-25,DAP,import_from_china,8.47,,https://pib.gov.in/PressReleasePage.aspx?PRID=2237491,
2019-20,UREA,sales,336.97,,https://pib.gov.in/PressReleasePage.aspx?PRID=1640400,2018-19 urea sales 320.20 LMT per same release
2018-19,UREA,sales,320.2,,https://pib.gov.in/PressReleasePage.aspx?PRID=1640400,
2019-20,UREA,production,244.55,,https://pib.gov.in/PressReleasePage.aspx?PRID=1640400,record year then; 2018-19 production 240 LMT
2024-25,ALL_FERTILISERS,assessed_requirement,722.04,,https://pib.gov.in/PressReleasePage.aspx?PRID=2215303,152.50 crore bags
2024-25,ALL_FERTILISERS,availability,834.64,,https://pib.gov.in/PressReleasePage.aspx?PRID=2215303,176.79 crore bags
as_on_2025-07,NANO_UREA,capacity_crore_bottles_pa,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2149781,27.22 crore x 500ml bottles/yr across 7 plants; qty not in LMT
since_inception_to_2025-07,NANO_UREA,cumulative_sales_crore_bottles,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2149781,10.68 crore bottles sold; qty not in LMT
as_on_2025-07,NANO_DAP,capacity_crore_bottles_pa,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2149781,7.64 crore bottles/yr across 3 plants
since_inception_to_2025-07,NANO_DAP,cumulative_sales_crore_bottles,,,https://pib.gov.in/PressReleasePage.aspx?PRID=2149781,2.75 crore bottles sold
2019-20,ALL_FERTILISERS,subsidy_outgo,,83466.51,https://pib.gov.in/PressReleasePage.aspx?PRID=2040811,"DBT-released subsidy, DoF PQ replies"
2020-21,ALL_FERTILISERS,subsidy_outgo,,131229.5,https://pib.gov.in/PressReleasePage.aspx?PRID=2040811,"DBT-released subsidy, DoF PQ replies"
2021-22,ALL_FERTILISERS,subsidy_outgo,,157640.1,https://pib.gov.in/PressReleasePage.aspx?PRID=2040811,"DBT-released subsidy, DoF PQ replies"
2022-23,ALL_FERTILISERS,subsidy_outgo,,254798.88,https://pib.gov.in/PressReleasePage.aspx?PRID=2148437,"DBT-released subsidy, DoF PQ replies"
2023-24,ALL_FERTILISERS,subsidy_outgo,,195420.51,https://pib.gov.in/PressReleasePage.aspx?PRID=2148437,"DBT-released subsidy, DoF PQ replies"
2024-25,ALL_FERTILISERS,subsidy_outgo,,177129.5,https://pib.gov.in/PressReleasePage.aspx?PRID=2148437,"DBT-released subsidy, DoF PQ replies"
2025-26,ALL_FERTILISERS,subsidy_allocation,,201961.5,https://pib.gov.in/PressReleasePage.aspx?PRID=2244395,BE/allocation for FY2025-26
2025-26,ALL_FERTILISERS,subsidy_outgo,,192857.77,https://pib.gov.in/PressReleasePage.aspx?PRID=2244395,actual expenditure as on 16.03.2026
2022-23,imported_P&K,subsidy_component,,36032.56,https://pib.gov.in/PressReleasePage.aspx?PRID=2148437,peak year split
2022-23,indigenous_P&K,subsidy_component,,50089.67,https://pib.gov.in/PressReleasePage.aspx?PRID=2148437,peak year split
2022-23,indigenous_urea,subsidy_component,,127311.05,https://pib.gov.in/PressReleasePage.aspx?PRID=2148437,peak year split
2022-23,imported_urea,subsidy_component,,41365.6,https://pib.gov.in/PressReleasePage.aspx?PRID=2148437,peak year split
Kharif_2025,P&K_NBS,seasonal_NBS_budget,,37216.15,https://pib.gov.in/PressReleasePage.aspx?PRID=2116179,
Rabi_2025-26,P&K_NBS,seasonal_NBS_budget,,37952.29,https://pib.gov.in/PressReleasePage.aspx?PRID=2183292,"~Rs 38,000 cr figure thanked in PRID 2183468"
Kharif_2026,P&K_NBS,seasonal_NBS_budget,,41533.81,https://pib.gov.in/PressReleasePage.aspx?PRID=2250060,
2024-25,DAP_special_package,subsidy_component,,2625.0,https://pib.gov.in/PressReleasePage.aspx?PRID=2079048,"Rs 3,500/MT on PoS sales 01.04.2024-31.12.2024"
2025,DAP_special_package,subsidy_allocation,,3850.0,https://pib.gov.in/PressReleasePage.aspx?PRID=2089259,"extension from 01.01.2025 till further orders, ~upto Rs 3,850 cr"
