year,crop,production_lmt,procured_lmt,procurement_share_pct,agency,source,as_of,note
2019-20,sunflower,2.13,0.05,2.5,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,jowar,47.7,0.23,0.5,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,bajra,103.6,1.0,1.0,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,maize,287.7,1.15,0.4,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2019-20,ragi,17.6,1.93,11.0,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,moong,26.2,0.14,0.5,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,urad,20.2,0.0,0.0,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,tur,38.8,0.11,0.3,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,gram,116.2,0.22,0.2,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,masur,13.5,,,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,groundnut,101.46,2.84,2.8,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,mustard,104.27,,,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,nigerseed,0.41,,,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,soybean,137.11,0.0,0.0,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,sunflower,2.24,,,NAFED_PSS,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,jowar,47.4,0.53,1.1,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,bajra,103.0,2.8,2.7,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,maize,301.6,1.99,0.7,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2020-21,ragi,18.7,1.78,9.5,FCI_state_agencies,https://www.data.gov.in (resource b7ffc0f4-c221-4863-9301-6d0441fd9efb),,production & procurement converted from tonnes (DFPD PQ reply)
2021-22,gram,135.44,26.29,19.4,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2022-23,gram,136.32,1.92,1.4,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2021-22,masur,12.69,,,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2022-23,masur,15.99,,,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2021-22,moong,31.66,3.63,11.5,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2022-23,moong,35.45,1.2,3.4,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2021-22,tur,42.2,0.36,0.9,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2022-23,tur,36.66,0.01,0.0,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2021-22,urad,27.76,0.02,0.1,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2022-23,urad,26.82,0.0,0.0,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2021-22,groundnut,101.35,1.5,1.5,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2022-23,groundnut,100.56,0.07,0.1,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2021-22,mustard,119.63,,,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2022-23,mustard,128.18,,,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2021-22,soybean,129.87,,,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2022-23,soybean,139.75,,,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2021-22,sunflower,2.5,0.02,0.8,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2022-23,sunflower,2.79,0.02,0.7,NAFED_PSS,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2021-22,jowar,41.51,1.57,3.8,FCI_state_agencies,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2022-23,jowar,40.75,0.33,0.8,FCI_state_agencies,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2021-22,bajra,97.81,0.13,0.1,FCI_state_agencies,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2022-23,bajra,97.85,1.25,1.3,FCI_state_agencies,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2021-22,maize,337.3,0.23,0.1,FCI_state_agencies,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2022-23,maize,346.13,0.0,0.0,FCI_state_agencies,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2021-22,ragi,17.01,4.37,25.7,FCI_state_agencies,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2022-23,ragi,16.69,2.9,17.4,FCI_state_agencies,https://www.data.gov.in (resource cfff9629-f80d-4b42-be2c-92b7af32e169),,converted from tonnes (DFPD PQ reply)
2023-24,maize,224.19,0.04,0.0,FCI_state_agencies,https://www.data.gov.in (resource 4ed94214-0ab1-4b9d-aa64-47f98ccdc687),,KHARIF SEASON ONLY (production and procurement); not full-year
2023-24,jowar,14.69,1.24,8.4,FCI_state_agencies,https://www.data.gov.in (resource 4ed94214-0ab1-4b9d-aa64-47f98ccdc687),,KHARIF SEASON ONLY (production and procurement); not full-year
2023-24,bajra,95.64,6.2,6.5,FCI_state_agencies,https://www.data.gov.in (resource 4ed94214-0ab1-4b9d-aa64-47f98ccdc687),,KHARIF SEASON ONLY (production and procurement); not full-year
2023-24,ragi,15.63,2.31,14.8,FCI_state_agencies,https://www.data.gov.in (resource 4ed94214-0ab1-4b9d-aa64-47f98ccdc687),,KHARIF SEASON ONLY (production and procurement); not full-year
2023-24,tur,33.85,,,NAFED_PSS,https://www.data.gov.in (resource 4ed94214-0ab1-4b9d-aa64-47f98ccdc687),,KHARIF SEASON ONLY (production and procurement); not full-year
2023-24,urad,15.49,,,NAFED_PSS,https://www.data.gov.in (resource 4ed94214-0ab1-4b9d-aa64-47f98ccdc687),,KHARIF SEASON ONLY (production and procurement); not full-year
2023-24,moong,11.44,0.54,4.7,NAFED_PSS,https://www.data.gov.in (resource 4ed94214-0ab1-4b9d-aa64-47f98ccdc687),,KHARIF SEASON ONLY (production and procurement); not full-year
