commodity,horizon_months,n_years,mean_ret_pct,median_ret_pct,min_ret_pct,max_ret_pct,pct_positive,carry_hurdle_pct,pct_beat_carry,mean_net_pct
paddy,12,13,4.5,4.2,-1.7,12.9,77.0,20.3,0.0,-15.8
paddy,24,12,8.9,6.8,0.4,18.8,100.0,44.8,0.0,-35.8
paddy,36,11,13.1,11.8,4.7,26.5,100.0,74.2,0.0,-61.1
rice_nonbasmati,12,13,4.1,3.1,-2.5,12.9,69.0,16.4,0.0,-12.3
rice_nonbasmati,24,12,8.2,7.2,-2.2,20.3,92.0,35.5,0.0,-27.4
rice_nonbasmati,36,11,12.2,13.9,1.3,26.7,100.0,57.8,0.0,-45.6
wheat,12,14,5.3,6.2,-3.2,14.8,86.0,17.0,0.0,-11.7
wheat,24,13,10.4,7.8,3.0,19.4,100.0,36.9,0.0,-26.5
wheat,36,12,15.7,14.2,10.7,26.2,100.0,60.1,0.0,-44.4
maize,12,13,4.8,7.6,-18.9,30.7,69.0,18.5,15.0,-13.7
maize,24,12,10.4,5.2,-12.8,44.8,67.0,40.4,8.0,-30.0
maize,36,11,15.7,12.8,4.2,41.8,100.0,66.4,0.0,-50.7
jowar,12,13,6.8,4.1,-12.8,35.6,54.0,15.7,38.0,-8.9
jowar,24,12,14.9,12.2,-17.9,72.4,83.0,33.8,17.0,-19.0
jowar,36,11,22.8,21.4,-1.7,50.4,91.0,54.8,0.0,-32.1
bajra,12,13,6.6,7.4,-16.0,24.4,69.0,17.4,15.0,-10.8
bajra,24,12,13.5,9.2,-10.9,40.5,92.0,37.9,17.0,-24.4
bajra,36,11,20.7,15.6,2.8,50.9,100.0,61.9,0.0,-41.2
arhar_tur,12,13,7.4,9.7,-34.8,60.7,77.0,13.7,31.0,-6.3
arhar_tur,24,12,17.3,20.1,-46.8,82.7,75.0,29.2,42.0,-11.9
arhar_tur,36,11,26.0,28.6,-40.8,97.8,82.0,46.9,27.0,-20.9
gram,12,14,4.7,3.4,-30.8,38.0,71.0,14.6,21.0,-9.9
gram,24,13,10.6,12.3,-21.4,59.1,62.0,31.3,15.0,-20.7
gram,36,12,17.1,14.9,-20.0,78.4,75.0,50.5,8.0,-33.4
moong,12,13,5.0,5.9,-24.1,23.7,62.0,13.4,38.0,-8.4
moong,24,12,10.7,17.0,-35.7,41.2,67.0,28.7,25.0,-18.0
moong,36,11,15.7,14.8,-31.9,54.6,82.0,46.0,9.0,-30.3
urad,12,13,7.6,2.5,-35.8,58.4,62.0,13.7,31.0,-6.1
urad,24,12,19.8,17.6,-44.2,101.1,75.0,29.4,33.0,-9.6
urad,36,11,28.0,22.8,-43.6,103.3,82.0,47.1,27.0,-19.1
masur,12,14,5.5,11.1,-22.2,23.0,71.0,14.0,29.0,-8.5
masur,24,13,10.7,11.8,-35.3,39.8,62.0,30.0,38.0,-19.3
masur,36,12,15.3,8.4,-29.4,61.1,67.0,48.3,17.0,-33.0
rajma,12,13,4.7,-1.8,-15.4,38.6,46.0,13.4,23.0,-8.6
rajma,24,12,8.3,1.2,-19.3,75.4,58.0,28.6,25.0,-20.2
rajma,36,11,14.3,-0.7,-14.3,86.2,45.0,45.8,18.0,-31.5
mustard_seed,12,13,4.6,4.4,-16.5,22.0,77.0,14.1,15.0,-9.4
mustard_seed,24,12,9.6,5.8,-23.1,42.3,92.0,30.1,8.0,-20.6
mustard_seed,36,11,12.8,9.5,-12.4,51.3,82.0,48.5,9.0,-35.6
soybean,12,13,3.8,0.3,-20.3,34.4,62.0,14.7,23.0,-10.9
soybean,24,12,6.8,-2.4,-22.8,45.0,42.0,31.6,25.0,-24.7
soybean,36,11,13.3,13.0,-21.3,65.7,55.0,50.9,9.0,-37.7
groundnut_seed,12,13,2.9,4.1,-14.1,14.9,69.0,15.5,0.0,-12.6
groundnut_seed,24,12,8.1,16.6,-15.4,20.8,67.0,33.3,0.0,-25.2
groundnut_seed,36,11,14.9,11.2,-5.3,35.1,91.0,54.0,0.0,-39.1
sugar,12,13,1.9,0.7,-9.4,27.5,54.0,16.6,8.0,-14.7
sugar,24,12,4.3,4.7,-12.2,28.4,67.0,35.9,0.0,-31.7
sugar,36,11,7.3,10.0,-17.3,21.1,73.0,58.5,0.0,-51.1
