year,crop,msp_rs_qtl,season,source
2026-27,paddy,2441.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2010-11,soybean,1440.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2011-12,soybean,1690.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2012-13,soybean,2240.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2013-14,soybean,2560.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2014-15,soybean,2560.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2015-16,soybean,2600.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2016-17,soybean,2775.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2017-18,soybean,3050.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2018-19,soybean,3399.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2019-20,soybean,3710.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2020-21,soybean,3880.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2021-22,soybean,3950.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2022-23,soybean,4300.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2023-24,soybean,4600.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2024-25,soybean,4892.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2025-26,soybean,5328.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2026-27,soybean,5708.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2010-11,sugarcane_frp,139.12,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2011-12,sugarcane_frp,145.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2012-13,sugarcane_frp,170.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2013-14,sugarcane_frp,210.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2014-15,sugarcane_frp,220.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2015-16,sugarcane_frp,230.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2016-17,sugarcane_frp,230.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2017-18,sugarcane_frp,255.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2018-19,sugarcane_frp,275.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2019-20,sugarcane_frp,275.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2020-21,sugarcane_frp,285.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2021-22,sugarcane_frp,290.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2022-23,sugarcane_frp,305.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2023-24,sugarcane_frp,315.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2024-25,sugarcane_frp,340.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2025-26,sugarcane_frp,355.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2026-27,sugarcane_frp,365.0,Commercial Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2010-11,urad,2900.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2011-12,urad,3300.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2012-13,urad,4300.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2013-14,urad,4300.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2014-15,urad,4350.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2015-16,urad,4625.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2016-17,urad,5000.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2017-18,urad,5400.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2018-19,urad,5600.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2019-20,urad,5700.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2020-21,urad,6000.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2021-22,urad,6300.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2022-23,urad,6600.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2023-24,urad,6950.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2024-25,urad,7400.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2025-26,urad,7800.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2026-27,urad,8200.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2010-11,wheat,1170.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2011-12,wheat,1285.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2012-13,wheat,1350.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2013-14,wheat,1400.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2014-15,wheat,1450.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2015-16,wheat,1525.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2016-17,wheat,1625.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2017-18,wheat,1735.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2018-19,wheat,1840.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2019-20,wheat,1925.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2020-21,wheat,1975.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2021-22,wheat,2015.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2022-23,wheat,2125.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2023-24,wheat,2275.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2024-25,wheat,2425.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2025-26,wheat,2585.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
