year,crop,msp_rs_qtl,season,source
2025-26,bajra,2775.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2026-27,bajra,2900.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2010-11,gram,2100.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2011-12,gram,2800.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2012-13,gram,3000.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2013-14,gram,3100.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2014-15,gram,3175.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2015-16,gram,3500.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2016-17,gram,4000.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2017-18,gram,4400.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2018-19,gram,4620.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2019-20,gram,4875.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2020-21,gram,5100.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2021-22,gram,5230.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2022-23,gram,5335.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2023-24,gram,5440.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2024-25,gram,5650.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2025-26,gram,5875.0,Rabi Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2010-11,groundnut_seed,2300.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2011-12,groundnut_seed,2700.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2012-13,groundnut_seed,3700.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2013-14,groundnut_seed,4000.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2014-15,groundnut_seed,4000.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2015-16,groundnut_seed,4030.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2016-17,groundnut_seed,4220.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2017-18,groundnut_seed,4450.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2018-19,groundnut_seed,4890.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2019-20,groundnut_seed,5090.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2020-21,groundnut_seed,5275.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2021-22,groundnut_seed,5550.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2022-23,groundnut_seed,5850.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2023-24,groundnut_seed,6377.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2024-25,groundnut_seed,6783.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2025-26,groundnut_seed,7263.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2026-27,groundnut_seed,7517.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2010-11,jowar,880.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2011-12,jowar,980.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2012-13,jowar,1500.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2013-14,jowar,1500.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2014-15,jowar,1530.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2015-16,jowar,1570.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2016-17,jowar,1625.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2017-18,jowar,1700.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2018-19,jowar,2430.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2019-20,jowar,2550.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2020-21,jowar,2620.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
2021-22,jowar,2738.0,Kharif Crops,"CACP https://cacp.da.gov.in/Home/MSP (json.json, updated 13.05.2026); cross-checked DES MSP-Statement 12.12.2025"
