crop,season,a2fl_rs_qtl,diesel_fuel_share,cng_saving_rs_qtl,a2_reduction_pct
Sesamum,2025-26,6564.0,0.09,143.2,2.2
Nigerseed,2025-26,6358.0,0.08,123.3,1.9
Tur (Arhar),2026-27,5496.0,0.09,119.9,2.2
Moong,2026-27,5438.0,0.08,105.4,1.9
Sunflower Seed,2025-26,5147.0,0.09,112.3,2.2
Cotton (Medium Staple),2025-26,5140.0,0.09,112.1,2.2
Urad,2025-26,5114.0,0.08,99.1,1.9
Groundnut,2025-26,4842.0,0.11,129.1,2.7
Safflower,2026-27,4360.0,0.09,95.1,2.2
Lentil (Masur),2026-27,3705.0,0.09,80.8,2.2
Gram,2026-27,3699.0,0.09,80.7,2.2
Soybean (Yellow),2025-26,3552.0,0.09,77.5,2.2
Ragi,2026-27,3470.0,0.08,67.3,1.9
Rapeseed & Mustard,2026-27,3210.0,0.09,70.0,2.2
Jowar (Hybrid),2026-27,2682.0,0.09,58.5,2.2
Bajra,2026-27,1858.0,0.08,36.0,1.9
Paddy (Common),2026-27,1627.0,0.09,35.5,2.2
Maize,2026-27,1544.0,0.1,37.4,2.4
Barley,2026-27,1361.0,0.1,33.0,2.4
Wheat,2026-27,1239.0,0.11,33.0,2.7
