product_group,hs_prefix,export_fy2425_usd_mn,export_fy2526_usd_mn,import_fy2425_usd_mn,import_fy2526_usd_mn,source
Pasta,1902,60.7,63.0,42.8,53.0,DGCI&S TradeStat EIDB commodity-wise (Values in US$ Million)
Biscuits & bakery,1905,630.2,685.9,106.8,136.8,DGCI&S TradeStat EIDB (US$ mn)
Breakfast cereal,1904,82.0,93.7,2.5,2.8,DGCI&S TradeStat EIDB (US$ mn)
Wheat gluten,1109,0.5,1.5,19.9,26.8,DGCI&S TradeStat EIDB (US$ mn)
Semolina/groats,1103,32.9,42.7,0.1,0.1,DGCI&S TradeStat EIDB (US$ mn)
Wheat flour/maida,1101,74.0,80.9,1.9,4.2,DGCI&S TradeStat EIDB (US$ mn)
Rice - basmati,10063020,5944.5,5672.9,0,0,DGCI&S TradeStat EIDB (US$ mn; FY25-26 across new HS codes)
Rice - non-basmati,1006-other,6528.0,5806.4,0,0,DGCI&S TradeStat EIDB (US$ mn; FY25-26 across new HS codes)
Wheat grain,1001,2.0,10.3,43.5,27.6,DGCI&S TradeStat EIDB (US$ mn; export near-zero = May-2022 ban)
